series_title,runtime,genre,rating,release_year,end_year,duration,cast,synopsis
Douluo Dalu,20,Animation,8.6,2018,2020,2,,Tang San is one of Tang Sect martial art clan's most prestigious disciples in the use of hidden weapons. The elders believe his future will be bright; yet Tang chooses to forsake this life at the cost of obtaining a forbidden lore.
Douluo Dalu,20,Action,8.6,2018,2020,2,,Tang San is one of Tang Sect martial art clan's most prestigious disciples in the use of hidden weapons. The elders believe his future will be bright; yet Tang chooses to forsake this life at the cost of obtaining a forbidden lore.
Douluo Dalu,20,Adventure,8.6,2018,2020,2,,Tang San is one of Tang Sect martial art clan's most prestigious disciples in the use of hidden weapons. The elders believe his future will be bright; yet Tang chooses to forsake this life at the cost of obtaining a forbidden lore.
Imperfect: The Series,,Comedy,8.3,2021,2023,2,"Kiky Saputri, Aci Resti, Neneng Wulandari, Zsazsa Utari","This series takes place a year before the film ""Imperfect."" At that time Dika had not yet met Rara, and was working on a photography project outside the city. The common thread of conflict is in Neti's love story."
Imperfect: The Series,,Drama,8.3,2021,2023,2,"Kiky Saputri, Aci Resti, Neneng Wulandari, Zsazsa Utari","This series takes place a year before the film ""Imperfect."" At that time Dika had not yet met Rara, and was working on a photography project outside the city. The common thread of conflict is in Neti's love story."
101 Dalmatians: The Series,30,Animation,6.1,1997,1998,1,"Kath Soucie, Tara Strong, Jeff Bennett, Frank Welker","Lucky, Cadpig, Rolly, and Spot have a series of adventures around the Dearly Farm."
101 Dalmatians: The Series,30,Short,6.1,1997,1998,1,"Kath Soucie, Tara Strong, Jeff Bennett, Frank Welker","Lucky, Cadpig, Rolly, and Spot have a series of adventures around the Dearly Farm."
101 Dalmatians: The Series,30,Adventure,6.1,1997,1998,1,"Kath Soucie, Tara Strong, Jeff Bennett, Frank Welker","Lucky, Cadpig, Rolly, and Spot have a series of adventures around the Dearly Farm."
Gamer's Guide to Pretty Much Everything,22,Adventure,5.0,2015,2017,2,"Cameron Boyce, Murray Wyatt Rundus, Felix Avitia, Sophie Reynolds","Follows professional teenage video gamer, Conor, who is forced to go to high school for the first time, after a thumb injury. Coping with his new lifestyle, he focuses on friendships and visualizes life as a video game."
Gamer's Guide to Pretty Much Everything,22,Comedy,5.0,2015,2017,2,"Cameron Boyce, Murray Wyatt Rundus, Felix Avitia, Sophie Reynolds","Follows professional teenage video gamer, Conor, who is forced to go to high school for the first time, after a thumb injury. Coping with his new lifestyle, he focuses on friendships and visualizes life as a video game."
Gamer's Guide to Pretty Much Everything,22,Fantasy,5.0,2015,2017,2,"Cameron Boyce, Murray Wyatt Rundus, Felix Avitia, Sophie Reynolds","Follows professional teenage video gamer, Conor, who is forced to go to high school for the first time, after a thumb injury. Coping with his new lifestyle, he focuses on friendships and visualizes life as a video game."
Feed the Beast,60,Crime,6.7,2016,2016,0,"David Schwimmer, Jim Sturgess, Lorenza Izzo, Michael Gladis",Two friends open up a restaurant together.
Feed the Beast,60,Drama,6.7,2016,2016,0,"David Schwimmer, Jim Sturgess, Lorenza Izzo, Michael Gladis",Two friends open up a restaurant together.
If You Give a Mouse a Cookie,22,Animation,6.6,2015,2021,6,"Roger Craig Smith, Jessica DiCicco, Jeff Bennett, Mason Mahay","In the If You Give a Mouse a Cookie series, based on the book series by Laura Numeroff and Felicia Bond, the main characters are Mouse, Pig, Moose, Dog and Cat and several humans. The episodes revolve around their adventures."
If You Give a Mouse a Cookie,22,Short,6.6,2015,2021,6,"Roger Craig Smith, Jessica DiCicco, Jeff Bennett, Mason Mahay","In the If You Give a Mouse a Cookie series, based on the book series by Laura Numeroff and Felicia Bond, the main characters are Mouse, Pig, Moose, Dog and Cat and several humans. The episodes revolve around their adventures."
If You Give a Mouse a Cookie,22,Adventure,6.6,2015,2021,6,"Roger Craig Smith, Jessica DiCicco, Jeff Bennett, Mason Mahay","In the If You Give a Mouse a Cookie series, based on the book series by Laura Numeroff and Felicia Bond, the main characters are Mouse, Pig, Moose, Dog and Cat and several humans. The episodes revolve around their adventures."
Koi wa Ameagari no You ni,22,Animation,7.4,2018,2018,0,"Sayumi Watabe, Hiroaki Hirata, Jason Douglas, Luci Christian",A young student falls in love with her middle-aged boss.
Koi wa Ameagari no You ni,22,Drama,7.4,2018,2018,0,"Sayumi Watabe, Hiroaki Hirata, Jason Douglas, Luci Christian",A young student falls in love with her middle-aged boss.
Koi wa Ameagari no You ni,22,Romance,7.4,2018,2018,0,"Sayumi Watabe, Hiroaki Hirata, Jason Douglas, Luci Christian",A young student falls in love with her middle-aged boss.
Rubí,210,Adventure,8.0,2004,2004,0,"Bárbara Mori, Eduardo Santamarina, Jacqueline Bracamontes, Paty Díaz","An ambitious woman of humble background and stunning beauty is determined to change her poor situation, using her seductive skills on a millionaire doctor."
Rubí,210,Drama,8.0,2004,2004,0,"Bárbara Mori, Eduardo Santamarina, Jacqueline Bracamontes, Paty Díaz","An ambitious woman of humble background and stunning beauty is determined to change her poor situation, using her seductive skills on a millionaire doctor."
Rubí,210,Family,8.0,2004,2004,0,"Bárbara Mori, Eduardo Santamarina, Jacqueline Bracamontes, Paty Díaz","An ambitious woman of humble background and stunning beauty is determined to change her poor situation, using her seductive skills on a millionaire doctor."
Our Yorkshire Farm,240,Documentary,9.0,2018,2022,4,"Ralf Little, Amanda Owen, Clive Owen, Reuben Owen",Observational documentary series following life on a remote sheep farm in Yorkshire for Clive and Amanda Owen and their nine children.
Martin Mystery,22,Animation,7.5,2003,2006,3,"Sam Vincent, Kelly Sheridan, Teryl Rothery, Dale Wilson","MARTIN MYSTERY is a dripping goo-fest of slime, thrills and comedy, starring Martin and Diana: two mismatched teenagers with hilariously opposite personalities on a mission to investigate ...                See full summary »"
Martin Mystery,22,Action,7.5,2003,2006,3,"Sam Vincent, Kelly Sheridan, Teryl Rothery, Dale Wilson","MARTIN MYSTERY is a dripping goo-fest of slime, thrills and comedy, starring Martin and Diana: two mismatched teenagers with hilariously opposite personalities on a mission to investigate ...                See full summary »"
Martin Mystery,22,Comedy,7.5,2003,2006,3,"Sam Vincent, Kelly Sheridan, Teryl Rothery, Dale Wilson","MARTIN MYSTERY is a dripping goo-fest of slime, thrills and comedy, starring Martin and Diana: two mismatched teenagers with hilariously opposite personalities on a mission to investigate ...                See full summary »"
The Vault,,Drama,7.5,2011,2014,3,"Shane Spalione, Adam Epelbaum, Alexia Dox, Carlo Maghirang","The Vault is a reality television show set in the year 2016, where 150 contestants get more than they bargained for."
The Vault,,Mystery,7.5,2011,2014,3,"Shane Spalione, Adam Epelbaum, Alexia Dox, Carlo Maghirang","The Vault is a reality television show set in the year 2016, where 150 contestants get more than they bargained for."
The Vault,,Thriller,7.5,2011,2014,3,"Shane Spalione, Adam Epelbaum, Alexia Dox, Carlo Maghirang","The Vault is a reality television show set in the year 2016, where 150 contestants get more than they bargained for."
The Collector,60,Action,6.6,2004,2006,2,"Chris Kramer, Aidan Drummond, Sonya Salomaa, Ellen Dubin","Centuries ago, Morgan Pym made a deal with Satan: his soul, in exchange for 10 years with his one true love. After she died, Morgan--desperate to avoid eternity in hell--agreed to become a ...                See full summary »"
